customer_id,date,day_of_week,day_of_month,month,week_of_year,is_weekend,is_holiday,total_deposits,n_deposits,total_purchases,n_purchases,bills_amount,bills_due,net_flow_lag_1,net_flow_lag_7,net_flow_lag_30,net_flow_ma_7,net_flow_ma_30,deposits_lag_1,purchases_lag_1,bills_lag_1,net_flow,running_balance
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-13,1,13,9,37,0,0,6445,1,0,0,0,0,,,,,,,,,6445,21445
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-14,2,14,9,37,0,0,5777,1,0,0,0,0,6445,,,,,6445,0,0,5777,27222
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-15,3,15,9,37,0,0,7294,1,3787,1,6341.76,1,5777,,,,,5777,0,0,-2834.76,24387.24
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-16,4,16,9,37,0,1,6734,1,0,0,0,0,-2834.76,,,,,7294,3787,6341.76,6734,31121.24
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-17,5,17,9,37,0,0,9996,1,0,0,0,0,6734,,,,,6734,0,0,9996,41117.24
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-18,6,18,9,37,1,0,12654,1,5848,1,0,0,9996,,,,,9996,0,0,6806,47923.24
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-19,0,19,9,37,1,0,6548,1,0,0,0,0,6806,,,,,12654,5848,0,6548,54471.24
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-20,1,20,9,38,0,0,7170,1,0,0,1468.51,1,6548,6445,,5638.75,,6548,0,0,5701.49,60172.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-21,2,21,9,38,0,0,8184,1,0,0,0,0,5701.49,5777,,5532.53,,7170,0,1468.51,8184,68356.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-22,3,22,9,38,0,0,5570,1,0,0,0,0,8184,-2834.76,,5876.39,,8184,0,0,5570,73926.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-23,4,23,9,38,0,0,9086,1,6240,1,0,0,5570,6734,,7077.07,,5570,0,0,2846,76772.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-24,5,24,9,38,0,0,13310,1,0,0,0,0,2846,9996,,6521.64,,9086,6240,0,13310,90082.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-25,6,25,9,38,1,0,8250,1,5061,1,0,0,13310,6806,,6995.07,,13310,0,0,3189,93271.73
353b01bd-099b-4732-b5dd-bced6c71fc8a,2021-09-26,0,26,9,38,1,0,6007,1,0,0,0,0,3189,6548,,6478.36,,8250,5061,0,6007,99278.73
