observation_date,MEXSLRTTO01IXOBM
1986-01-01,35.54071
1986-02-01,31.78862
1986-03-01,32.55293
1986-04-01,32.90035
1986-05-01,35.43649
1986-06-01,33.10880
1986-07-01,36.20081
1986-08-01,34.42898
1986-09-01,31.85810
1986-10-01,33.17828
1986-11-01,35.29752
1986-12-01,51.93878
1987-01-01,33.28251
1987-02-01,30.88533
1987-03-01,33.10880
1987-04-01,32.58768
1987-05-01,32.90035
1987-06-01,34.04683
1987-07-01,36.06184
1987-08-01,36.37452
1987-09-01,33.59518
1987-10-01,36.68719
1987-11-01,39.70972
1987-12-01,54.99604
1988-01-01,36.37452
1988-02-01,34.77640
1988-03-01,36.75668
1988-04-01,34.08157
1988-05-01,40.23084
1988-06-01,39.22333
1988-07-01,40.09187
1988-08-01,39.95291
1988-09-01,37.06935
1988-10-01,43.14914
1988-11-01,46.31063
1988-12-01,65.10587
1989-01-01,43.39233
1989-02-01,40.19610
1989-03-01,41.30783
1989-04-01,44.19139
1989-05-01,47.90874
1989-06-01,47.07495
1989-07-01,49.33315
1989-08-01,48.39513
1989-09-01,48.84677
1989-10-01,51.10498
1989-11-01,54.71811
1989-12-01,79.87107
1990-01-01,52.59887
1990-02-01,45.19890
1990-03-01,52.94629
1990-04-01,49.64583
1990-05-01,56.73313
1990-06-01,56.80261
1990-07-01,59.09556
1990-08-01,58.19228
1990-09-01,54.54440
1990-10-01,58.74814
1990-11-01,71.08143
1990-12-01,91.30108
1991-01-01,67.98943
1991-02-01,59.99884
1991-03-01,62.22231
1991-04-01,65.66174
1991-05-01,70.17815
1991-06-01,66.25234
1991-07-01,71.98472
1991-08-01,73.72180
1991-09-01,63.12559
1991-10-01,72.19317
1991-11-01,78.48141
1991-12-01,104.81560
1992-01-01,77.47390
1992-02-01,76.81380
1992-03-01,84.00533
1992-04-01,76.88329
1992-05-01,78.23821
1992-06-01,75.52837
1992-07-01,79.45417
1992-08-01,72.36687
1992-09-01,72.22791
1992-10-01,99.15269
1992-11-01,76.53587
1992-12-01,100.71610
1993-01-01,79.62788
1993-02-01,71.53307
1993-03-01,78.02976
1993-04-01,64.27206
1993-05-01,74.79879
1993-06-01,72.40162
1993-07-01,74.55560
1993-08-01,71.18565
1993-09-01,64.44578
1993-10-01,69.06641
1993-11-01,68.23261
1993-12-01,96.96397
1994-01-01,71.27366
1994-02-01,66.35562
1994-03-01,71.95461
1994-04-01,68.24718
1994-05-01,73.84617
1994-06-01,71.72763
1994-07-01,74.07315
1994-08-01,74.52712
1994-09-01,72.55991
1994-10-01,74.60278
1994-11-01,77.47794
1994-12-01,111.22320
1995-01-01,73.31653
1995-02-01,61.28627
1995-03-01,67.79321
1995-04-01,53.11476
1995-05-01,55.91426
1995-06-01,53.72006
1995-07-01,55.91426
1995-08-01,57.42750
1995-09-01,54.24969
1995-10-01,55.98992
1995-11-01,60.30266
1995-12-01,83.60658
1996-01-01,57.65449
1996-02-01,52.43380
1996-03-01,55.98992
1996-04-01,51.67719
1996-05-01,56.74654
1996-06-01,54.24969
1996-07-01,57.04919
1996-08-01,57.42750
1996-09-01,53.64440
1996-10-01,57.57882
1996-11-01,61.05928
1996-12-01,85.04415
1997-01-01,59.54604
1997-02-01,53.72006
1997-03-01,56.67088
1997-04-01,58.41111
1997-05-01,60.98362
1997-06-01,58.48677
1997-07-01,63.10215
1997-08-01,64.16142
1997-09-01,60.00001
1997-10-01,64.76672
1997-11-01,67.56622
1997-12-01,95.63684
1998-01-01,63.48046
1998-02-01,58.33545
1998-03-01,63.55613
1998-04-01,60.52964
1998-05-01,66.20430
1998-06-01,64.69106
1998-07-01,66.73393
1998-08-01,70.21439
1998-09-01,62.95083
1998-10-01,65.37202
1998-11-01,67.41489
1998-12-01,95.48551
1999-01-01,63.32914
1999-02-01,57.42750
1999-03-01,68.32284
1999-04-01,60.90796
1999-05-01,66.96092
1999-06-01,70.59270
1999-07-01,70.06306
1999-08-01,69.23078
1999-09-01,66.27996
1999-10-01,69.53343
1999-11-01,73.99749
1999-12-01,102.59770
2000-01-01,70.44138
2000-02-01,66.88525
2000-03-01,69.23078
2000-04-01,67.71754
2000-05-01,75.35941
2000-06-01,75.51073
2000-07-01,77.32662
2000-08-01,78.76420
2000-09-01,74.90543
2000-10-01,76.79699
2000-11-01,80.12611
2000-12-01,110.01260
2001-01-01,73.90121
2001-02-01,66.87012
2001-03-01,73.52839
2001-04-01,67.33923
2001-05-01,73.15764
2001-06-01,72.00758
2001-07-01,72.13621
2001-08-01,73.61161
2001-09-01,69.60909
2001-10-01,72.65070
2001-11-01,74.20934
2001-12-01,94.27493
2002-01-01,73.06649
2002-02-01,66.35562
2002-03-01,69.71502
2002-04-01,71.03154
2002-05-01,74.08829
2002-06-01,72.03027
2002-07-01,74.02776
2002-08-01,75.22321
2002-09-01,69.32914
2002-10-01,73.66458
2002-11-01,74.80708
2002-12-01,96.15134
2003-01-01,74.02602
2003-02-01,67.36949
2003-03-01,72.35562
2003-04-01,69.33671
2003-05-01,74.54982
2003-06-01,72.87769
2003-07-01,75.88905
2003-08-01,75.56370
2003-09-01,71.42498
2003-10-01,76.10090
2003-11-01,77.28123
2003-12-01,101.08450
2004-01-01,78.99077
2004-02-01,73.12738
2004-03-01,78.59018
2004-04-01,75.40481
2004-05-01,80.85247
2004-06-01,78.73393
2004-07-01,82.50947
2004-08-01,81.07946
2004-09-01,78.44642
2004-10-01,83.06181
2004-11-01,85.90670
2004-12-01,108.37830
2005-01-01,84.30410
2005-02-01,76.65323
2005-03-01,81.05676
2005-04-01,81.05676
2005-05-01,84.09081
2005-06-01,80.67845
2005-07-01,83.10720
2005-08-01,84.83230
2005-09-01,82.72133
2005-10-01,85.33167
2005-11-01,86.37580
2005-12-01,110.37580
2006-01-01,86.80335
2006-02-01,79.22146
2006-03-01,83.66592
2006-04-01,80.76167
2006-05-01,86.48474
2006-06-01,84.07986
2006-07-01,85.39468
2006-08-01,87.33501
2006-09-01,83.72874
2006-10-01,86.80075
2006-11-01,88.57127
2006-12-01,111.78500
2007-01-01,88.80835
2007-02-01,80.72604
2007-03-01,86.04133
2007-04-01,81.31326
2007-05-01,88.12157
2007-06-01,87.13518
2007-07-01,88.96313
2007-08-01,90.57767
2007-09-01,86.12714
2007-10-01,90.37068
2007-11-01,91.54312
2007-12-01,113.06370
2008-01-01,93.19305
2008-02-01,86.57500
2008-03-01,87.84232
2008-04-01,89.20201
2008-05-01,91.41398
2008-06-01,90.23936
2008-07-01,92.18748
2008-08-01,91.63455
2008-09-01,86.04747
2008-10-01,90.30919
2008-11-01,91.55734
2008-12-01,114.48150
2009-01-01,89.80926
2009-02-01,80.85414
2009-03-01,87.92783
2009-04-01,83.59019
2009-05-01,86.55703
2009-06-01,86.27700
