customer_id,date,year,month,total_deposits,total_purchases,bills_amount,net_flow
pyme_01,1986-01-01,1986,1,498649.73,223460.06,19706.63,255483.04
pyme_01,1986-02-01,1986,2,405950.44,177278.48,19862.29,208809.67
pyme_01,1986-03-01,1986,3,437558.66,196443.7,18578.96,222536.0
pyme_01,1986-04-01,1986,4,428246.15,167475.23,20827.86,239943.05
pyme_01,1986-05-01,1986,5,427285.42,192187.68,20382.91,214714.82
pyme_01,1986-06-01,1986,6,435726.48,164858.22,19642.59,251225.68
pyme_01,1986-07-01,1986,7,466713.37,192501.93,20453.74,253757.7
pyme_01,1986-08-01,1986,8,417407.5,188254.21,19063.87,210089.42
pyme_01,1986-09-01,1986,9,381275.26,172132.32,20294.5,188848.44
pyme_01,1986-10-01,1986,10,416717.76,176023.44,19566.96,221127.37
pyme_01,1986-11-01,1986,11,450688.63,193969.31,19882.74,236836.58
pyme_01,1986-12-01,1986,12,763602.49,356823.02,21293.12,385486.36
pyme_01,1987-01-01,1987,1,417854.79,181526.88,19426.99,216900.91
pyme_01,1987-02-01,1987,2,379420.57,183164.38,19883.94,176372.25
pyme_01,1987-03-01,1987,3,432521.0,191593.31,19902.35,221025.34
pyme_01,1987-04-01,1987,4,416130.35,187355.73,20073.1,208701.52
pyme_01,1987-05-01,1987,5,449559.45,212036.52,19720.58,217802.34
pyme_01,1987-06-01,1987,6,480661.43,214050.38,20167.17,246443.88
pyme_01,1987-07-01,1987,7,485396.05,206410.39,19838.65,259147.01
pyme_01,1987-08-01,1987,8,486751.77,214685.98,21472.08,250593.71
pyme_01,1987-09-01,1987,9,464635.39,205541.59,18876.67,240217.13
pyme_01,1987-10-01,1987,10,500222.27,209502.82,20922.93,269796.52
pyme_01,1987-11-01,1987,11,484482.98,212430.99,21322.59,250729.4
pyme_01,1987-12-01,1987,12,678096.03,291480.32,21301.66,365314.04
pyme_01,1988-01-01,1988,1,453125.35,208157.88,21471.81,223495.66
pyme_01,1988-02-01,1988,2,429951.18,190733.29,20541.46,218676.43
pyme_01,1988-03-01,1988,3,465614.76,203935.38,20755.52,240923.87
pyme_01,1988-04-01,1988,4,480093.43,211779.42,19882.14,248431.87
pyme_01,1988-05-01,1988,5,524960.9,234634.72,20401.71,269924.46
pyme_01,1988-06-01,1988,6,541955.35,246011.34,20303.28,275640.74
pyme_01,1988-07-01,1988,7,539903.65,229614.44,20761.76,289527.45
pyme_01,1988-08-01,1988,8,553079.04,234807.37,21369.11,296902.56
pyme_01,1988-09-01,1988,9,503888.94,233087.87,20312.02,250489.04
pyme_01,1988-10-01,1988,10,563836.72,245661.5,20255.75,297919.47
pyme_01,1988-11-01,1988,11,621578.31,259755.23,21644.18,340178.91
pyme_01,1988-12-01,1988,12,819150.08,369327.93,23235.77,426586.38
pyme_01,1989-01-01,1989,1,511168.76,230646.39,21258.06,259264.3
pyme_01,1989-02-01,1989,2,510542.87,212323.74,20991.19,277227.94
pyme_01,1989-03-01,1989,3,531504.85,237619.49,20476.53,273408.83
pyme_01,1989-04-01,1989,4,543491.62,247852.53,20341.66,275297.43
pyme_01,1989-05-01,1989,5,651317.41,292856.4,20711.7,337749.3
pyme_01,1989-06-01,1989,6,628867.24,285632.51,20151.32,323083.41
pyme_01,1989-07-01,1989,7,707600.17,295861.09,21542.61,390196.47
pyme_01,1989-08-01,1989,8,607943.93,272887.12,21255.24,313801.57
pyme_01,1989-09-01,1989,9,625789.39,273870.7,21066.42,330852.27
pyme_01,1989-10-01,1989,10,635586.21,276128.99,19631.94,339825.28
pyme_01,1989-11-01,1989,11,641724.86,294185.4,21021.2,326518.26
pyme_01,1989-12-01,1989,12,928578.49,435703.64,24346.43,468528.42
pyme_01,1990-01-01,1990,1,592788.84,281455.71,21234.54,290098.6
pyme_01,1990-02-01,1990,2,512253.16,238864.35,21246.76,252142.05
pyme_01,1990-03-01,1990,3,653168.11,288085.23,20789.96,344292.92
pyme_01,1990-04-01,1990,4,605354.23,271957.24,22342.01,311054.97
pyme_01,1990-05-01,1990,5,676805.86,309023.48,21901.86,345880.53
pyme_01,1990-06-01,1990,6,784156.07,349067.16,22193.74,412895.17
pyme_01,1990-07-01,1990,7,792890.34,353089.91,23724.5,416075.93
pyme_01,1990-08-01,1990,8,804075.91,367944.99,23114.72,413016.2
pyme_01,1990-09-01,1990,9,713120.76,315165.38,21623.78,376331.59
pyme_01,1990-10-01,1990,10,762207.2,327809.9,21756.78,412640.52
pyme_01,1990-11-01,1990,11,932854.41,406405.78,22786.79,503661.84
pyme_01,1990-12-01,1990,12,1136199.31,516102.39,24563.06,595533.86
pyme_01,1991-01-01,1991,1,897314.6,397560.5,22735.76,477018.34
pyme_01,1991-02-01,1991,2,711456.18,319466.15,21980.75,370009.28
pyme_01,1991-03-01,1991,3,774535.23,352318.04,23393.24,398823.96
pyme_01,1991-04-01,1991,4,830837.47,362544.73,22571.8,445720.94
pyme_01,1991-05-01,1991,5,872553.27,398236.48,24536.2,449780.59
pyme_01,1991-06-01,1991,6,792666.28,356474.68,22751.77,413439.83
pyme_01,1991-07-01,1991,7,910373.28,383378.03,24305.32,502689.92
pyme_01,1991-08-01,1991,8,918726.32,430478.98,23428.48,464818.85
pyme_01,1991-09-01,1991,9,795560.57,345376.37,23120.85,427063.35
pyme_01,1991-10-01,1991,10,966345.59,399752.38,22581.28,544011.93
pyme_01,1991-11-01,1991,11,1135705.61,482089.47,22870.69,630745.46
